steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
78.0,0.0,0.0,24877.0,47481.0,2519.0,94.962,5.038,0.0,48.08510638297872,99.77891224826145,90.19225410977988
67.0,0.0,0.0,24851.0,47520.0,2480.0,95.04,4.96,0.0,41.12903225806452,99.81489678483764,90.3216827706867
84.0,0.0,0.0,24878.0,47430.0,2570.0,94.86,5.140000000000001,0.0,42.369477911646584,99.82715652383632,89.94108749303399
77.0,0.0,0.0,24862.0,47485.0,2515.0,94.97,5.029999999999999,0.0,44.59724950884086,99.81095647976832,90.18219428753282
70.0,0.0,0.0,24965.0,47422.0,2578.0,94.844,5.156000000000001,0.0,39.46830265848671,99.7676747446425,89.93409227082086
73.0,0.0,0.0,24726.0,47507.0,2493.0,95.014,4.986,0.0,46.3220675944334,99.81800533851008,90.3141568410224
79.0,0.0,0.0,24711.0,47504.0,2496.0,95.00800000000001,4.992,0.0,44.93927125506073,99.7612399336328,90.36339910633082
75.0,0.0,0.0,24832.0,47462.0,2538.0,94.92399999999999,5.076,0.0,42.71653543307087,99.79059278350515,90.12237762237763
65.0,0.0,0.0,24888.0,47466.0,2534.0,94.932,5.0680000000000005,0.0,39.711934156378604,99.799099967856,90.10831474992035
71.0,0.0,0.0,24990.0,47420.0,2580.0,94.84,5.16,0.0,42.1455938697318,99.77190876350541,89.91203518592563
72.0,0.0,0.0,24726.0,47431.0,2569.0,94.862,5.138,0.0,39.08730158730159,99.78160640621209,90.04906227743926
70.0,0.0,0.0,24690.0,47482.0,2518.0,94.964,5.0360000000000005,0.0,44.46854663774403,99.83799108950993,90.20940339786647
67.0,0.0,0.0,24687.0,47495.0,2505.0,94.99,5.01,0.0,43.558282208588956,99.79746425244056,90.30142614466875
73.0,0.0,0.0,24661.0,47467.0,2533.0,94.934,5.066,0.0,43.08300395256917,99.79319573415515,90.20482260546983
66.0,0.0,0.0,24709.0,47429.0,2571.0,94.858,5.142,0.0,43.08943089430895,99.78145614958113,90.04784310624333
65.0,0.0,0.0,24924.0,47509.0,2491.0,95.018,4.982,0.0,47.1578947368421,99.79939014604398,90.26559259850056
71.0,0.0,0.0,24958.0,47571.0,2429.0,95.14200000000001,4.858,0.0,43.66812227074236,99.79565670326149,90.50395335835796
67.0,0.0,0.0,24785.0,47447.0,2553.0,94.894,5.106,0.0,41.6988416988417,99.75791809562236,90.11302795954789
79.0,0.0,0.0,24889.0,47476.0,2524.0,94.952,5.048,0.0,41.10898661567878,99.77098316525372,90.17562024610729
75.0,0.0,0.0,24932.0,47410.0,2590.0,94.82000000000001,5.18,0.0,40.48507462686567,99.81148724530723,89.85559278761768
66.0,0.0,0.0,24905.0,47454.0,2546.0,94.908,5.092,0.0,42.91417165668663,99.81128287492471,90.04184100418409
62.0,0.0,0.0,24809.0,47550.0,2450.0,95.1,4.9,0.0,43.10722100656455,99.76218307872143,90.50851494581397
82.0,0.0,0.0,24662.0,47520.0,2480.0,95.04,4.96,0.0,46.16858237547893,99.75265590787447,90.45307443365695
64.0,0.0,0.0,24645.0,47425.0,2575.0,94.85,5.1499999999999995,0.0,43.59464627151052,99.74031243659972,90.09662788404654
73.0,0.0,0.0,24696.0,47480.0,2520.0,94.96,5.04,0.0,41.412213740458014,99.79348882410108,90.24264938349667
67.0,0.0,0.0,24725.0,47406.0,2594.0,94.812,5.188000000000001,0.0,39.46830265848671,99.79777553083923,89.93471810089021
68.0,0.0,0.0,24819.0,47479.0,2521.0,94.958,5.042,0.0,42.94234592445328,99.80659978242475,90.17910329216473
64.0,0.0,0.0,24664.0,47463.0,2537.0,94.926,5.074,0.0,39.25619834710744,99.78105741161207,90.19971581938744
62.0,0.0,0.0,24835.0,47511.0,2489.0,95.02199999999999,4.978,0.0,40.0,99.80672438091403,90.30001986886549
75.0,0.0,0.0,24667.0,47506.0,2494.0,95.012,4.988,0.0,45.358649789029535,99.77703004013459,90.3722417400229
70.9,0.0,0.0,24798.933333333334,47473.6,2526.4,94.94720000000001,5.0528,0.0,42.77041293426506,99.78989009412966,90.18154817972597
