steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
57.0,78.0,0.0,49149.0,49538.0,384.0,99.232,0.768,0.156,47.94816414686825,99.79653706077438,66.62749706227967
53.0,92.0,0.0,49108.0,49530.0,378.0,99.244,0.756,0.184,52.26824457593688,99.80247617496131,68.49775784753363
57.0,78.0,0.0,49117.0,49554.0,368.0,99.264,0.736,0.156,49.1869918699187,99.83508764786123,67.49716874292186
90.0,94.0,0.0,49144.0,49496.0,410.0,99.18,0.8200000000000001,0.188,50.09784735812133,99.76599381409734,65.53738317757009
54.0,86.0,0.0,49104.0,49541.0,373.0,99.25399999999999,0.746,0.172,52.208835341365464,99.79635060280222,69.53125
47.0,107.0,0.0,49157.0,49530.0,363.0,99.274,0.726,0.214,52.421052631578945,99.79657017311878,68.80189798339265
71.0,78.0,0.0,49072.0,49514.0,408.0,99.18400000000001,0.8160000000000001,0.156,45.2755905511811,99.824747310075,65.30172413793103
68.0,83.0,0.0,49158.0,49538.0,379.0,99.24199999999999,0.758,0.166,49.69939879759519,99.8087798527198,66.1520190023753
61.0,80.0,0.0,49064.0,49511.0,409.0,99.182,0.818,0.16,45.91439688715953,99.83898581444643,64.74358974358975
58.0,69.0,0.0,49140.0,49545.0,386.0,99.22800000000001,0.772,0.13799999999999998,46.138211382113816,99.81888481888483,65.46511627906978
58.0,98.0,0.0,49105.0,49480.0,422.0,99.156,0.844,0.196,45.416666666666664,99.78820894002648,64.46927374301677
51.0,83.0,0.0,49111.0,49580.0,337.0,99.32600000000001,0.674,0.166,51.84426229508197,99.85339333346907,70.1912260967379
53.0,84.0,0.0,49075.0,49529.0,387.0,99.226,0.774,0.168,49.2156862745098,99.83290881304127,67.02702702702703
46.0,107.0,0.0,49102.0,49482.0,411.0,99.178,0.822,0.214,48.36065573770492,99.77190338479083,66.70378619153675
53.0,85.0,0.0,49086.0,49512.0,403.0,99.194,0.8059999999999999,0.16999999999999998,46.7479674796748,99.8125738499776,65.97374179431073
56.0,86.0,0.0,49132.0,49512.0,402.0,99.196,0.804,0.172,46.98795180722892,99.78832532768868,65.66820276497695
50.0,89.0,0.0,49062.0,49507.0,404.0,99.19200000000001,0.808,0.178,46.69260700389105,99.82267335208512,66.2046908315565
57.0,102.0,0.0,49116.0,49555.0,343.0,99.31400000000001,0.6859999999999999,0.20400000000000001,53.002070393374744,99.8371202866683,70.24886877828054
57.0,68.0,0.0,49090.0,49515.0,417.0,99.166,0.8340000000000001,0.136,44.73684210526316,99.79832959869627,65.05494505494505
47.0,100.0,0.0,49141.0,49506.0,394.0,99.212,0.788,0.2,47.70459081836327,99.81481858326042,64.72642607683353
63.0,104.0,0.0,49166.0,49524.0,372.0,99.256,0.744,0.208,51.829268292682926,99.8108448928121,66.54676258992805
50.0,81.0,0.0,49098.0,49538.0,381.0,99.238,0.762,0.16199999999999998,49.30139720558882,99.8166931443236,67.73835920177383
53.0,79.0,0.0,49096.0,49533.0,388.0,99.224,0.776,0.158,51.35135135135135,99.80650154798761,67.58849557522124
55.0,69.0,0.0,49098.0,49524.0,407.0,99.18599999999999,0.814,0.13799999999999998,47.66734279918864,99.78817874455171,66.4079822616408
53.0,77.0,0.0,49080.0,49499.0,424.0,99.152,0.848,0.154,45.88014981273408,99.82273838630806,63.3695652173913
66.0,77.0,0.0,49135.0,49532.0,391.0,99.21799999999999,0.782,0.154,45.9958932238193,99.8127607611682,65.4335260115607
62.0,96.0,0.0,49093.0,49508.0,396.0,99.208,0.792,0.192,47.58064516129033,99.83500702747847,65.27012127894156
62.0,96.0,0.0,49106.0,49478.0,426.0,99.148,0.852,0.192,47.44094488188976,99.77599478678776,64.65324384787472
60.0,83.0,0.0,49104.0,49529.0,388.0,99.224,0.776,0.166,48.46743295019157,99.83504398826979,65.73660714285714
66.0,91.0,0.0,49119.0,49517.0,392.0,99.21600000000001,0.784,0.182,49.79338842975206,99.80252040961746,66.51532349602725
57.8,86.66666666666667,0.0,49110.933333333334,49521.9,391.43333333333334,99.21713333333334,0.7828666666666667,0.17333333333333334,48.57252827440291,99.81036508095833,66.45611929863674
