steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
72.0,23.0,0.0,0.0,45336.0,4641.0,90.718,9.282,0.046,38.347457627118644,0.0,90.718
74.0,13.0,0.0,0.0,45392.0,4595.0,90.81,9.19,0.026,37.75100401606426,0.0,90.81
78.0,24.0,0.0,0.0,45331.0,4645.0,90.71000000000001,9.29,0.048,34.11513859275053,0.0,90.71000000000001
79.0,26.0,0.0,0.0,45235.0,4739.0,90.522,9.478,0.052,37.66990291262136,0.0,90.522
80.0,15.0,0.0,0.0,45341.0,4644.0,90.712,9.288,0.03,36.76190476190476,0.0,90.712
74.0,30.0,0.0,0.0,45339.0,4631.0,90.738,9.261999999999999,0.06,34.375,0.0,90.738
89.0,20.0,0.0,0.0,45336.0,4644.0,90.712,9.288,0.04,36.98347107438016,0.0,90.712
73.0,21.0,0.0,0.0,45295.0,4684.0,90.632,9.368,0.042,37.67820773930753,0.0,90.632
72.0,18.0,0.0,0.0,45375.0,4607.0,90.786,9.214,0.036000000000000004,37.03703703703704,0.0,90.786
75.0,25.0,0.0,0.0,45369.0,4606.0,90.788,9.212,0.05,36.53846153846153,0.0,90.788
75.0,19.0,0.0,0.0,45476.0,4505.0,90.99000000000001,9.01,0.038,37.029288702928866,0.0,90.99000000000001
72.0,28.0,0.0,0.0,45359.0,4613.0,90.774,9.225999999999999,0.055999999999999994,34.22680412371134,0.0,90.774
80.0,24.0,0.0,0.0,45268.0,4708.0,90.584,9.415999999999999,0.048,35.842293906810035,0.0,90.584
90.0,23.0,0.0,0.0,45326.0,4651.0,90.69800000000001,9.302000000000001,0.046,40.40816326530612,0.0,90.69800000000001
82.0,29.0,0.0,0.0,45301.0,4670.0,90.66,9.34,0.058,37.42802303262956,0.0,90.66
81.0,16.0,0.0,0.0,45473.0,4511.0,90.97800000000001,9.022,0.032,37.708333333333336,0.0,90.97800000000001
77.0,14.0,0.0,0.0,45445.0,4541.0,90.91799999999999,9.081999999999999,0.027999999999999997,38.759689922480625,0.0,90.91799999999999
74.0,21.0,0.0,0.0,45318.0,4661.0,90.678,9.322,0.042,37.0722433460076,0.0,90.678
85.0,35.0,0.0,0.0,45306.0,4659.0,90.682,9.318,0.06999999999999999,36.62551440329218,0.0,90.682
87.0,24.0,0.0,0.0,45337.0,4639.0,90.72200000000001,9.278,0.048,39.84819734345351,0.0,90.72200000000001
69.0,18.0,0.0,0.0,45361.0,4621.0,90.75800000000001,9.242,0.036000000000000004,36.09467455621302,0.0,90.75800000000001
77.0,22.0,0.0,0.0,45352.0,4626.0,90.74799999999999,9.252,0.044000000000000004,38.35616438356164,0.0,90.74799999999999
77.0,23.0,0.0,0.0,45355.0,4622.0,90.756,9.244,0.046,35.04761904761905,0.0,90.756
90.0,14.0,0.0,0.0,45360.0,4626.0,90.74799999999999,9.252,0.027999999999999997,36.49789029535865,0.0,90.74799999999999
80.0,22.0,0.0,0.0,45368.0,4610.0,90.78,9.22,0.044000000000000004,36.43892339544513,0.0,90.78
79.0,21.0,0.0,0.0,45196.0,4783.0,90.434,9.565999999999999,0.042,34.29752066115703,0.0,90.434
80.0,16.0,0.0,0.0,45420.0,4564.0,90.872,9.128,0.032,33.83297644539615,0.0,90.872
87.0,22.0,0.0,0.0,45343.0,4635.0,90.73,9.27,0.044000000000000004,31.471135940409685,0.0,90.73
76.0,16.0,0.0,0.0,45369.0,4615.0,90.77,9.229999999999999,0.032,35.567970204841714,0.0,90.77
98.0,23.0,0.0,0.0,45228.0,4749.0,90.50200000000001,9.498,0.046,36.29489603024575,0.0,90.50200000000001
79.4,21.5,0.0,0.0,45343.666666666664,4634.833333333333,90.73033333333333,9.269666666666666,0.043000000000000003,36.536863587994894,0.0,90.73033333333333
