steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
152.0,20624.0,0.0,0.0,26683.0,2693.0,94.614,5.386,41.248000000000005,61.99616122840691,0.0,94.614
114.0,20053.0,0.0,0.0,27233.0,2714.0,94.572,5.428,40.106,58.80149812734082,0.0,94.572
118.0,19739.0,0.0,0.0,27464.0,2797.0,94.406,5.593999999999999,39.478,60.52104208416834,0.0,94.406
119.0,20118.0,0.0,0.0,27049.0,2833.0,94.33399999999999,5.666,40.236,58.68725868725869,0.0,94.33399999999999
122.0,20348.0,0.0,0.0,26961.0,2691.0,94.618,5.382,40.696,61.434108527131784,0.0,94.618
142.0,20375.0,0.0,0.0,26889.0,2736.0,94.528,5.4719999999999995,40.75,57.25490196078431,0.0,94.528
145.0,20781.0,0.0,0.0,26424.0,2795.0,94.41000000000001,5.59,41.562,59.10931174089069,0.0,94.41000000000001
130.0,20266.0,0.0,0.0,27028.0,2706.0,94.58800000000001,5.412,40.532000000000004,65.33864541832669,0.0,94.58800000000001
120.0,20062.0,0.0,0.0,27235.0,2703.0,94.594,5.406,40.123999999999995,62.5968992248062,0.0,94.594
128.0,19936.0,0.0,0.0,27337.0,2727.0,94.54599999999999,5.454,39.872,64.35643564356435,0.0,94.54599999999999
124.0,20206.0,0.0,0.0,27115.0,2679.0,94.64200000000001,5.3580000000000005,40.412,61.308411214953274,0.0,94.64200000000001
115.0,19928.0,0.0,0.0,27247.0,2825.0,94.35,5.65,39.856,61.31687242798354,0.0,94.35
126.0,20252.0,0.0,0.0,26994.0,2754.0,94.492,5.508,40.504,61.30952380952381,0.0,94.492
120.0,20257.0,0.0,0.0,26926.0,2817.0,94.366,5.634,40.514,60.0,0.0,94.366
121.0,20400.0,0.0,0.0,26808.0,2792.0,94.416,5.584,40.8,61.1336032388664,0.0,94.416
174.0,20375.0,0.0,0.0,26914.0,2711.0,94.57799999999999,5.422,40.75,60.75949367088608,0.0,94.57799999999999
126.0,20440.0,0.0,0.0,26885.0,2675.0,94.65,5.35,40.88,66.03415559772297,0.0,94.65
131.0,20318.0,0.0,0.0,26920.0,2762.0,94.476,5.524,40.636,66.60482374768088,0.0,94.476
120.0,19944.0,0.0,0.0,27291.0,2765.0,94.47,5.53,39.888,62.096774193548384,0.0,94.47
123.0,20238.0,0.0,0.0,26951.0,2811.0,94.378,5.622,40.476,59.43775100401606,0.0,94.378
128.0,19960.0,0.0,0.0,27268.0,2772.0,94.45599999999999,5.5440000000000005,39.92,60.65573770491803,0.0,94.45599999999999
13.0,49986.0,0.0,0.0,14.0,0.0,100.0,0.0,99.97200000000001,100.0,0.0,100.0
114.0,20404.0,0.0,0.0,26879.0,2717.0,94.56599999999999,5.434,40.808,60.42065009560229,0.0,94.56599999999999
150.0,20492.0,0.0,0.0,26824.0,2684.0,94.632,5.367999999999999,40.983999999999995,65.22633744855966,0.0,94.632
130.0,20526.0,0.0,0.0,26763.0,2711.0,94.57799999999999,5.422,41.052,60.88709677419355,0.0,94.57799999999999
128.0,19938.0,0.0,0.0,27355.0,2707.0,94.586,5.414,39.876,61.038961038961034,0.0,94.586
126.0,20612.0,0.0,0.0,26622.0,2766.0,94.46799999999999,5.532,41.224,60.43307086614173,0.0,94.46799999999999
124.0,20464.0,0.0,0.0,26818.0,2718.0,94.56400000000001,5.436,40.928,60.665362035225044,0.0,94.56400000000001
162.0,20197.0,0.0,0.0,27074.0,2729.0,94.542,5.457999999999999,40.394000000000005,59.60698689956332,0.0,94.542
136.0,20222.0,0.0,0.0,27009.0,2769.0,94.462,5.538,40.444,59.96131528046421,0.0,94.462
126.03333333333333,21248.7,0.0,0.0,26099.333333333332,2651.9666666666667,94.69606666666667,5.303933333333333,42.4974,62.63310632304964,0.0,94.69606666666667
