steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
73.0,0.0,0.0,0.0,45311.0,4689.0,90.622,9.378,0.0,34.44444444444444,0.0,90.622
74.0,0.0,0.0,0.0,45421.0,4579.0,90.842,9.158,0.0,35.67251461988304,0.0,90.842
89.0,0.0,0.0,0.0,45254.0,4746.0,90.508,9.492,0.0,34.74576271186441,0.0,90.508
87.0,1.0,0.0,0.0,45392.0,4607.0,90.786,9.214,0.002,33.59528487229863,0.0,90.786
78.0,0.0,0.0,0.0,45383.0,4617.0,90.766,9.234,0.0,34.917355371900825,0.0,90.766
97.0,1.0,0.0,0.0,45410.0,4589.0,90.822,9.178,0.002,35.09127789046653,0.0,90.822
70.0,1.0,0.0,0.0,45323.0,4676.0,90.648,9.352,0.002,35.45816733067729,0.0,90.648
76.0,2.0,0.0,0.0,45505.0,4493.0,91.014,8.985999999999999,0.004,38.27956989247312,0.0,91.014
79.0,0.0,0.0,0.0,45384.0,4616.0,90.768,9.232,0.0,35.55555555555556,0.0,90.768
75.0,0.0,0.0,0.0,45244.0,4756.0,90.488,9.512,0.0,36.19631901840491,0.0,90.488
67.0,0.0,0.0,0.0,45235.0,4765.0,90.47,9.53,0.0,33.89830508474576,0.0,90.47
86.0,3.0,0.0,0.0,45455.0,4542.0,90.916,9.084,0.006,35.902255639097746,0.0,90.916
63.0,1.0,0.0,0.0,45456.0,4543.0,90.914,9.086,0.002,39.1566265060241,0.0,90.914
82.0,0.0,0.0,0.0,45378.0,4622.0,90.756,9.244,0.0,38.085539714867615,0.0,90.756
72.0,3.0,0.0,0.0,45312.0,4685.0,90.63,9.370000000000001,0.006,35.437881873727086,0.0,90.63
72.0,2.0,0.0,0.0,45373.0,4625.0,90.75,9.25,0.004,38.152610441767074,0.0,90.75
75.0,0.0,0.0,0.0,45371.0,4629.0,90.742,9.258,0.0,40.7185628742515,0.0,90.742
74.0,1.0,0.0,0.0,45333.0,4666.0,90.668,9.332,0.002,35.16699410609037,0.0,90.668
82.0,1.0,0.0,0.0,45258.0,4741.0,90.518,9.482,0.002,38.37429111531191,0.0,90.518
80.0,0.0,0.0,0.0,45428.0,4572.0,90.85600000000001,9.144,0.0,37.109375,0.0,90.85600000000001
78.0,1.0,0.0,0.0,45387.0,4612.0,90.776,9.224,0.002,39.1919191919192,0.0,90.776
75.0,0.0,0.0,0.0,45367.0,4633.0,90.73400000000001,9.266,0.0,37.28813559322034,0.0,90.73400000000001
70.0,0.0,0.0,0.0,45331.0,4669.0,90.66199999999999,9.338000000000001,0.0,35.8974358974359,0.0,90.66199999999999
73.0,2.0,0.0,0.0,45316.0,4682.0,90.63600000000001,9.364,0.004,32.62032085561498,0.0,90.63600000000001
88.0,2.0,0.0,0.0,45450.0,4548.0,90.904,9.096,0.004,37.14902807775378,0.0,90.904
77.0,1.0,0.0,0.0,45428.0,4571.0,90.858,9.142,0.002,35.40856031128405,0.0,90.858
70.0,0.0,0.0,0.0,45311.0,4689.0,90.622,9.378,0.0,33.26923076923077,0.0,90.622
84.0,1.0,0.0,0.0,45301.0,4698.0,90.604,9.396,0.002,34.50292397660819,0.0,90.604
73.0,0.0,0.0,0.0,45458.0,4542.0,90.916,9.084,0.0,38.74045801526718,0.0,90.916
77.0,1.0,0.0,0.0,45373.0,4626.0,90.74799999999999,9.252,0.002,36.907216494845365,0.0,90.74799999999999
77.2,0.8,0.0,0.0,45364.933333333334,4634.266666666666,90.73146666666666,9.268533333333332,0.0016,36.231130774901054,0.0,90.73146666666666
