steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
80.0,0.0,0.0,0.0,45086.0,4914.0,90.172,9.828000000000001,0.0,37.12686567164179,0.0,90.172
83.0,0.0,0.0,0.0,45107.0,4893.0,90.214,9.786,0.0,30.628803245436103,0.0,90.214
82.0,0.0,0.0,0.0,45231.0,4769.0,90.462,9.538,0.0,36.92307692307693,0.0,90.462
84.0,0.0,0.0,0.0,45190.0,4810.0,90.38000000000001,9.62,0.0,32.99595141700405,0.0,90.38000000000001
75.0,0.0,0.0,0.0,45093.0,4907.0,90.18599999999999,9.814,0.0,35.45966228893058,0.0,90.18599999999999
71.0,0.0,0.0,0.0,45115.0,4885.0,90.23,9.77,0.0,37.7319587628866,0.0,90.23
73.0,0.0,0.0,0.0,45073.0,4927.0,90.146,9.854000000000001,0.0,37.83231083844581,0.0,90.146
73.0,0.0,0.0,0.0,45091.0,4909.0,90.182,9.818,0.0,34.43579766536965,0.0,90.182
74.0,0.0,0.0,0.0,45040.0,4960.0,90.08,9.92,0.0,34.2,0.0,90.08
68.0,0.0,0.0,0.0,45238.0,4762.0,90.476,9.524000000000001,0.0,39.872068230277186,0.0,90.476
91.0,0.0,0.0,0.0,45152.0,4848.0,90.304,9.696,0.0,30.919765166340508,0.0,90.304
72.0,0.0,0.0,0.0,45077.0,4923.0,90.154,9.846,0.0,35.543278084714544,0.0,90.154
78.0,0.0,0.0,0.0,45049.0,4951.0,90.098,9.902,0.0,34.44227005870842,0.0,90.098
76.0,0.0,0.0,0.0,45067.0,4933.0,90.134,9.866,0.0,39.42505133470226,0.0,90.134
75.0,0.0,0.0,0.0,45033.0,4967.0,90.066,9.934,0.0,34.60764587525151,0.0,90.066
73.0,0.0,0.0,0.0,45143.0,4857.0,90.286,9.714,0.0,34.9705304518664,0.0,90.286
82.0,0.0,0.0,0.0,45186.0,4814.0,90.372,9.628,0.0,34.43298969072165,0.0,90.372
84.0,0.0,0.0,0.0,45223.0,4777.0,90.446,9.554,0.0,38.13559322033898,0.0,90.446
75.0,0.0,0.0,0.0,45110.0,4890.0,90.22,9.78,0.0,35.20518358531318,0.0,90.22
75.0,0.0,0.0,0.0,45208.0,4792.0,90.416,9.584,0.0,35.31669865642994,0.0,90.416
86.0,0.0,0.0,0.0,45215.0,4785.0,90.42999999999999,9.569999999999999,0.0,39.14728682170542,0.0,90.42999999999999
84.0,0.0,0.0,0.0,45105.0,4895.0,90.21000000000001,9.790000000000001,0.0,36.15702479338843,0.0,90.21000000000001
77.0,0.0,0.0,0.0,45038.0,4962.0,90.076,9.924,0.0,33.33333333333333,0.0,90.076
77.0,0.0,0.0,0.0,45113.0,4887.0,90.226,9.774,0.0,35.6,0.0,90.226
75.0,0.0,0.0,0.0,45044.0,4956.0,90.08800000000001,9.912,0.0,30.13972055888224,0.0,90.08800000000001
105.0,0.0,0.0,0.0,45095.0,4905.0,90.19,9.81,0.0,33.91812865497076,0.0,90.19
77.0,0.0,0.0,0.0,45084.0,4916.0,90.168,9.832,0.0,37.4,0.0,90.168
71.0,0.0,0.0,0.0,45174.0,4826.0,90.348,9.652,0.0,32.0,0.0,90.348
88.0,0.0,0.0,0.0,45215.0,4785.0,90.42999999999999,9.569999999999999,0.0,35.51020408163265,0.0,90.42999999999999
91.0,0.0,0.0,0.0,45135.0,4865.0,90.27,9.73,0.0,34.22562141491396,0.0,90.27
79.16666666666667,0.0,0.0,0.0,45124.333333333336,4875.666666666667,90.24866666666667,9.751333333333333,0.0,35.25456069420943,0.0,90.24866666666667
