steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
46.0,5.0,0.0,49129.0,49293.0,702.0,98.59599999999999,1.4040000000000001,0.01,30.06396588486141,99.44432005536444,50.74626865671642
49.0,2.0,0.0,49070.0,49249.0,749.0,98.502,1.498,0.004,30.451127819548873,99.43753821071938,49.13978494623656
68.0,3.0,0.0,49099.0,49334.0,663.0,98.67399999999999,1.3259999999999998,0.006,35.8974358974359,99.52137518075725,52.497225305216425
50.0,4.0,0.0,49122.0,49297.0,699.0,98.602,1.398,0.008,29.531568228105908,99.46052685151257,50.56947608200456
57.0,4.0,0.0,49137.0,49307.0,689.0,98.622,1.3780000000000001,0.008,29.700854700854702,99.4606915359098,50.869061413673236
93.0,9.0,0.0,49132.0,49301.0,690.0,98.61999999999999,1.38,0.018000000000000002,31.446540880503143,99.45656598550843,51.26728110599078
41.0,6.0,0.0,49156.0,49273.0,721.0,98.558,1.442,0.012,29.10284463894967,99.38156074538205,50.59241706161137
44.0,4.0,0.0,49111.0,49279.0,717.0,98.566,1.434,0.008,30.417495029821072,99.45429740791269,49.493813273340834
68.0,5.0,0.0,49063.0,49288.0,707.0,98.586,1.414,0.01,27.083333333333332,99.50471842325173,50.480256136606194
52.0,3.0,0.0,49134.0,49315.0,682.0,98.636,1.3639999999999999,0.006,34.523809523809526,99.47694061138927,50.92378752886836
75.0,3.0,0.0,49147.0,49317.0,680.0,98.64,1.3599999999999999,0.006,32.48945147679325,99.46487069404033,51.1137162954279
51.0,6.0,0.0,49118.0,49262.0,732.0,98.536,1.464,0.012,25.05307855626327,99.40958508082576,49.88662131519274
67.0,2.0,0.0,49027.0,49272.0,726.0,98.548,1.452,0.004,30.79777365491651,99.45948151018827,52.6207605344296
50.0,3.0,0.0,49116.0,49281.0,716.0,98.568,1.432,0.006,28.5132382892057,99.45435296033878,49.321266968325794
69.0,4.0,0.0,49107.0,49290.0,706.0,98.588,1.4120000000000001,0.008,31.79190751445087,99.50923493595619,47.92833146696528
65.0,6.0,0.0,49144.0,49317.0,677.0,98.646,1.354,0.012,35.68627450980392,99.45669868142602,52.10280373831776
60.0,8.0,0.0,49136.0,49310.0,682.0,98.636,1.3639999999999999,0.016,33.067729083665334,99.48510257245196,50.34722222222222
56.0,3.0,0.0,49119.0,49301.0,696.0,98.60799999999999,1.392,0.006,31.643002028397564,99.46252977462896,50.96481271282634
53.0,1.0,0.0,49077.0,49250.0,749.0,98.502,1.498,0.002,30.0187617260788,99.40501660655704,50.487540628385695
52.0,4.0,0.0,49083.0,49298.0,698.0,98.604,1.396,0.008,32.758620689655174,99.46621029684412,52.453653217012
45.0,8.0,0.0,49104.0,49293.0,699.0,98.602,1.398,0.016,29.7029702970297,99.45218312153796,52.00892857142857
42.0,2.0,0.0,49077.0,49290.0,708.0,98.584,1.4160000000000001,0.004,30.470347648261757,99.44169366505695,52.97941495124594
52.0,1.0,0.0,49110.0,49266.0,733.0,98.534,1.466,0.002,28.515625,99.45632254123396,47.640449438202246
50.0,5.0,0.0,49116.0,49275.0,720.0,98.56,1.44,0.01,30.79777365491651,99.47471292450525,47.737556561085974
68.0,6.0,0.0,49084.0,49243.0,751.0,98.49799999999999,1.502,0.012,28.46441947565543,99.44992258169668,47.48908296943232
57.0,5.0,0.0,49063.0,49259.0,736.0,98.528,1.472,0.01,28.230616302186878,99.45783992010271,49.83991462113127
35.0,6.0,0.0,49151.0,49268.0,726.0,98.548,1.452,0.012,31.546391752577318,99.40998148562593,48.64546525323911
49.0,4.0,0.0,49079.0,49265.0,731.0,98.538,1.462,0.008,31.70731707317073,99.43967888506286,50.4885993485342
60.0,5.0,0.0,49118.0,49305.0,690.0,98.61999999999999,1.38,0.01,27.27272727272727,99.47677022680077,50.90702947845806
51.0,3.0,0.0,49092.0,49283.0,714.0,98.572,1.428,0.006,29.09090909090909,99.4683451478856,50.110132158590304
55.833333333333336,4.333333333333333,0.0,49107.36666666667,49286.03333333333,709.6333333333333,98.58073333333333,1.4192666666666665,0.008666666666666666,30.527930367796287,99.45663562068245,50.388422465357266
