steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
82.0,0.0,0.0,0.0,45252.0,4748.0,90.50399999999999,9.496,0.0,41.48727984344423,0.0,90.50399999999999
80.0,0.0,0.0,0.0,45434.0,4566.0,90.86800000000001,9.132,0.0,36.17886178861789,0.0,90.86800000000001
84.0,0.0,0.0,0.0,45172.0,4828.0,90.34400000000001,9.656,0.0,34.29158110882957,0.0,90.34400000000001
71.0,0.0,0.0,0.0,45329.0,4671.0,90.658,9.342,0.0,36.55913978494624,0.0,90.658
100.0,0.0,0.0,0.0,45343.0,4657.0,90.686,9.314,0.0,38.58585858585858,0.0,90.686
79.0,0.0,0.0,0.0,45327.0,4673.0,90.654,9.346,0.0,35.4775828460039,0.0,90.654
134.0,0.0,0.0,0.0,45362.0,4638.0,90.724,9.276,0.0,38.297872340425535,0.0,90.724
70.0,0.0,0.0,0.0,45258.0,4742.0,90.51599999999999,9.484,0.0,33.980582524271846,0.0,90.51599999999999
78.0,0.0,0.0,0.0,45250.0,4750.0,90.5,9.5,0.0,36.231884057971016,0.0,90.5
74.0,0.0,0.0,0.0,45361.0,4639.0,90.72200000000001,9.278,0.0,35.56910569105691,0.0,90.72200000000001
75.0,0.0,0.0,0.0,45281.0,4719.0,90.562,9.438,0.0,40.225563909774436,0.0,90.562
93.0,0.0,0.0,0.0,45360.0,4640.0,90.72,9.28,0.0,37.07627118644068,0.0,90.72
65.0,0.0,0.0,0.0,45193.0,4807.0,90.386,9.614,0.0,34.87940630797773,0.0,90.386
76.0,0.0,0.0,0.0,45219.0,4781.0,90.438,9.562,0.0,34.54935622317596,0.0,90.438
67.0,0.0,0.0,0.0,45203.0,4797.0,90.40599999999999,9.594,0.0,36.633663366336634,0.0,90.40599999999999
94.0,0.0,0.0,0.0,45326.0,4674.0,90.652,9.347999999999999,0.0,31.422924901185773,0.0,90.652
84.0,0.0,0.0,0.0,45230.0,4770.0,90.46,9.54,0.0,33.93574297188755,0.0,90.46
73.0,0.0,0.0,0.0,45348.0,4652.0,90.696,9.304,0.0,37.33905579399141,0.0,90.696
84.0,0.0,0.0,0.0,45233.0,4767.0,90.46600000000001,9.533999999999999,0.0,33.603238866396765,0.0,90.46600000000001
70.0,0.0,0.0,0.0,45124.0,4876.0,90.24799999999999,9.751999999999999,0.0,32.71604938271605,0.0,90.24799999999999
72.0,0.0,0.0,0.0,45343.0,4657.0,90.686,9.314,0.0,37.573385518590996,0.0,90.686
76.0,0.0,0.0,0.0,45230.0,4770.0,90.46,9.54,0.0,36.09022556390977,0.0,90.46
77.0,0.0,0.0,0.0,45133.0,4867.0,90.266,9.734,0.0,34.2,0.0,90.266
86.0,0.0,0.0,0.0,45297.0,4703.0,90.594,9.406,0.0,38.72950819672131,0.0,90.594
82.0,0.0,0.0,0.0,45269.0,4731.0,90.538,9.462,0.0,38.60640301318267,0.0,90.538
77.0,0.0,0.0,0.0,45191.0,4809.0,90.38199999999999,9.618,0.0,35.501858736059475,0.0,90.38199999999999
88.0,0.0,0.0,0.0,45296.0,4704.0,90.592,9.408,0.0,39.7979797979798,0.0,90.592
72.0,0.0,0.0,0.0,45262.0,4738.0,90.524,9.475999999999999,0.0,37.60162601626016,0.0,90.524
73.0,0.0,0.0,0.0,45170.0,4830.0,90.34,9.66,0.0,36.36363636363637,0.0,90.34
68.0,0.0,0.0,0.0,45352.0,4648.0,90.704,9.296,0.0,33.400402414486926,0.0,90.704
80.13333333333334,0.0,0.0,0.0,45271.6,4728.4,90.5432,9.4568,0.0,36.23020157007121,0.0,90.5432
