steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
61.0,0.0,0.0,37141.0,48613.0,1387.0,97.226,2.774,0.0,43.558282208588956,99.77383484558844,89.86701920833657
71.0,0.0,0.0,37190.0,48609.0,1391.0,97.218,2.782,0.0,48.795180722891565,99.7983328851842,89.72677595628416
53.0,1.0,0.0,37138.0,48559.0,1440.0,97.11999999999999,2.88,0.002,44.86607142857143,99.7657385965857,89.48064064686673
58.0,0.0,0.0,37208.0,48577.0,1423.0,97.154,2.846,0.0,43.67588932806324,99.793055256934,89.47779862414009
68.0,1.0,0.0,37276.0,48563.0,1436.0,97.128,2.872,0.002,45.87525150905433,99.8202596845155,89.24080477837158
62.0,0.0,0.0,37252.0,48597.0,1403.0,97.194,2.806,0.0,45.64796905222437,99.81745946526361,89.52776906181363
65.0,0.0,0.0,37220.0,48582.0,1418.0,97.164,2.836,0.0,44.37869822485207,99.81998925308973,89.42879499217527
70.0,0.0,0.0,37323.0,48589.0,1411.0,97.178,2.822,0.0,45.472061657032754,99.79637221016532,89.46911729904552
69.0,0.0,0.0,37161.0,48503.0,1497.0,97.006,2.994,0.0,43.87755102040816,99.75242862140416,89.05678012306254
65.0,0.0,0.0,37194.0,48620.0,1380.0,97.24000000000001,2.76,0.0,49.8062015503876,99.8171748131419,89.75480243635796
60.0,0.0,0.0,37427.0,48608.0,1392.0,97.21600000000001,2.784,0.0,45.39877300613497,99.85037539744035,89.3740555157878
55.0,0.0,0.0,37063.0,48611.0,1389.0,97.222,2.778,0.0,44.271844660194176,99.82192483069369,89.7735178171137
75.0,0.0,0.0,37057.0,48588.0,1412.0,97.176,2.8240000000000003,0.0,45.154639175257735,99.80030763418517,89.66236575755234
72.0,0.0,0.0,37118.0,48591.0,1409.0,97.182,2.818,0.0,42.80155642023346,99.80871814214129,89.6134140661388
67.0,0.0,0.0,36947.0,48576.0,1424.0,97.152,2.848,0.0,45.77319587628866,99.7997131025523,89.65754998850839
72.0,0.0,0.0,37232.0,48614.0,1386.0,97.22800000000001,2.7720000000000002,0.0,47.73175542406312,99.763644177052,89.83395989974937
64.0,0.0,0.0,37107.0,48518.0,1482.0,97.036,2.964,0.0,43.26375711574953,99.75745816153287,89.20344372915535
59.0,0.0,0.0,37211.0,48533.0,1467.0,97.066,2.934,0.0,44.801512287334596,99.7984466958695,89.1156462585034
66.0,0.0,0.0,37191.0,48573.0,1427.0,97.146,2.854,0.0,42.62948207171315,99.81447124304268,89.39807947536889
63.0,1.0,0.0,37086.0,48485.0,1514.0,96.97200000000001,3.028,0.002,39.923224568138195,99.83012457531144,88.7641319498219
72.0,0.0,0.0,37072.0,48587.0,1413.0,97.174,2.826,0.0,45.309381237524946,99.81657315494174,89.59622524752476
67.0,0.0,0.0,37157.0,48607.0,1393.0,97.214,2.786,0.0,47.26166328600406,99.79007993110316,89.76095927742739
67.0,0.0,0.0,37231.0,48598.0,1402.0,97.196,2.804,0.0,44.989775051124745,99.7985549676345,89.60764351162973
57.0,0.0,0.0,37164.0,48583.0,1417.0,97.166,2.834,0.0,47.23809523809524,99.79011947045528,89.56840137114366
65.0,0.0,0.0,37154.0,48554.0,1446.0,97.108,2.8920000000000003,0.0,45.50898203592814,99.76853097916779,89.41304686283668
97.0,0.0,0.0,37125.0,48553.0,1447.0,97.10600000000001,2.894,0.0,42.97029702970297,99.77373737373738,89.41359223300971
72.0,1.0,0.0,37111.0,48572.0,1427.0,97.146,2.854,0.002,43.037974683544306,99.81407129961467,89.46388393203507
70.0,0.0,0.0,37138.0,48590.0,1410.0,97.18,2.82,0.0,45.81673306772908,99.79805051429803,89.62058777795056
69.0,0.0,0.0,37387.0,48636.0,1364.0,97.272,2.7279999999999998,0.0,43.24324324324324,99.82881750341028,89.69317370966463
95.0,0.0,0.0,37174.0,48507.0,1493.0,97.014,2.986,0.0,44.4022770398482,99.81438639909615,88.89755184780914
67.53333333333333,0.13333333333333333,0.0,37175.166666666664,48576.53333333333,1423.3333333333333,97.15333333333334,2.8466666666666667,0.0002666666666666667,44.91604397399757,99.79975837283843,89.48205111183952
