,0
Day,742.67
original_healthy,50000.0
end_healthy,46173.0
original_infected,10.0
end_infected,0.0
sick,0.0
recovered,39576.33
untouched,6596.67
dead,3827.0
percentage_died,0.08
percentage_untouched,0.13
notfullyvaccinated,0.0
original_vaccinated,45000.0
vaccinated,43402.67
end_vaccinated_percentage,0.87
original_immunocompromised,2000.0
immunocompromised,1975.0
end_immunocompromised_percentage,0.04
original_asymptomatic,5000.0
asymptomatic,4803.67
end_asymptomatic_percentage,0.1
isolated,0.0
end_isolated_percentage,0.0
original_masked,0.0
masked,0.0
end_masked_percentage,0.0
