,0
Day,80.67
original_healthy,50000.0
end_healthy,48797.67
original_infected,10.0
end_infected,0.0
sick,0.0
recovered,40583.67
untouched,8214.0
dead,1202.33
percentage_died,0.02
percentage_untouched,0.16
notfullyvaccinated,0.0
original_vaccinated,45000.0
vaccinated,44953.0
end_vaccinated_percentage,0.9
original_immunocompromised,2000.0
immunocompromised,2052.67
end_immunocompromised_percentage,0.04
original_asymptomatic,5000.0
asymptomatic,4760.67
end_asymptomatic_percentage,0.1
isolated,71.0
end_isolated_percentage,0.0
original_masked,0.0
masked,53.67
end_masked_percentage,0.0
