steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
10.0,49987.0,0.0,37085.0,13.0,0.0,100.0,0.0,99.97399999999999,100.0,100.0,100.0
6.0,49983.0,0.0,37190.0,17.0,0.0,100.0,0.0,99.966,100.0,100.0,100.0
54.0,49717.0,0.0,37254.0,272.0,11.0,99.978,0.022000000000000002,99.434,99.5959595959596,99.99731572448596,99.92154401380824
4.0,49989.0,0.0,37334.0,11.0,0.0,100.0,0.0,99.978,100.0,100.0,100.0
22.0,49966.0,0.0,37109.0,33.0,1.0,99.998,0.002,99.932,100.0,100.0,99.99224264991079
35.0,49939.0,0.0,37170.0,60.0,1.0,99.998,0.002,99.878,100.0,100.0,99.99220576773187
206.0,48240.0,0.0,37129.0,1716.0,44.0,99.912,0.08800000000000001,96.48,98.25918762088975,99.99730668749494,99.66591562427162
5.0,49988.0,0.0,37381.0,12.0,0.0,100.0,0.0,99.976,100.0,100.0,100.0
17.0,49985.0,0.0,37242.0,15.0,0.0,100.0,0.0,99.97,100.0,100.0,100.0
18.0,49988.0,0.0,37237.0,12.0,0.0,100.0,0.0,99.976,100.0,100.0,100.0
26.0,49959.0,0.0,37149.0,40.0,1.0,99.998,0.002,99.91799999999999,100.0,100.0,99.99221850439655
5.0,49986.0,0.0,37245.0,14.0,0.0,100.0,0.0,99.97200000000001,100.0,100.0,100.0
13.0,49986.0,0.0,37127.0,14.0,0.0,100.0,0.0,99.97200000000001,100.0,100.0,100.0
12.0,49984.0,0.0,37344.0,14.0,2.0,99.996,0.004,99.968,100.0,100.0,99.98419721871049
3.0,49989.0,0.0,37228.0,11.0,0.0,100.0,0.0,99.978,100.0,100.0,100.0
3.0,49988.0,0.0,37327.0,12.0,0.0,100.0,0.0,99.976,100.0,100.0,100.0
6.0,49987.0,0.0,36996.0,13.0,0.0,100.0,0.0,99.97399999999999,100.0,100.0,100.0
18.0,49976.0,0.0,37239.0,24.0,0.0,100.0,0.0,99.952,100.0,100.0,100.0
45.0,49976.0,0.0,37270.0,24.0,0.0,100.0,0.0,99.952,100.0,100.0,100.0
11.0,49978.0,0.0,37118.0,20.0,2.0,99.996,0.004,99.956,100.0,99.99730588932594,99.99223723024375
1.0,49990.0,0.0,37221.0,10.0,0.0,100.0,0.0,99.98,100.0,100.0,100.0
7.0,49988.0,0.0,37215.0,12.0,0.0,100.0,0.0,99.976,100.0,100.0,100.0
4.0,49984.0,0.0,37077.0,16.0,0.0,100.0,0.0,99.968,100.0,100.0,100.0
23.0,49968.0,0.0,37223.0,31.0,1.0,99.998,0.002,99.936,100.0,100.0,99.99217343664397
86.0,49848.0,0.0,37192.0,147.0,5.0,99.99,0.01,99.696,99.80582524271846,100.0,99.96096189881324
14.0,49987.0,0.0,37200.0,13.0,0.0,100.0,0.0,99.97399999999999,100.0,100.0,100.0
2.0,49989.0,0.0,37300.0,11.0,0.0,100.0,0.0,99.978,100.0,100.0,100.0
32.0,49984.0,0.0,36985.0,16.0,0.0,100.0,0.0,99.968,100.0,100.0,100.0
23.0,49957.0,0.0,37080.0,42.0,1.0,99.998,0.002,99.914,100.0,100.0,99.9922600619195
22.0,49978.0,0.0,37297.0,19.0,3.0,99.994,0.006,99.956,100.0,100.0,99.97638353144926
24.433333333333334,49908.8,0.0,37198.8,88.8,2.4,99.99520000000001,0.0048000000000000004,99.8176,99.92203241531892,99.99973094337689,99.98207799792998
