,0
Day,111.33
original_healthy,500.0
end_healthy,463.0
orignal_infected,10.0
end_infected,0.0
sick,0.0
recovered,124.0
untouched,339.0
dead,37.0
percentage_died,0.07
percentage_untouched,0.68
notfullyvaccinated,0.0
original_vaccinated,0.0
vaccinated,293.0
end_vaccinated_percentage,0.59
original_immunocompromised,20.0
immunocompromised,19.0
end_immunocompromised_percentage,0.04
original_asymptomatic,50.0
asymptomatic,54.0
end_asymptomatic_percentage,0.11
isolated,44.67
end_isolated_percentage,0.09
original_masked,0.0
masked,46.0
end_masked_percentage,0.09
