steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
82.0,194.0,0.0,0.0,45219.0,4587.0,90.826,9.174,0.388,37.86610878661088,0.0,90.826
83.0,198.0,0.0,0.0,45177.0,4625.0,90.75,9.25,0.396,34.79087452471482,0.0,90.75
83.0,181.0,0.0,0.0,45295.0,4524.0,90.952,9.048,0.362,40.94650205761317,0.0,90.952
84.0,208.0,0.0,0.0,45209.0,4583.0,90.834,9.166,0.416,37.95918367346939,0.0,90.834
91.0,153.0,0.0,0.0,45324.0,4523.0,90.95400000000001,9.046,0.306,39.43089430894309,0.0,90.95400000000001
81.0,176.0,0.0,0.0,45278.0,4546.0,90.908,9.092,0.35200000000000004,37.267080745341616,0.0,90.908
98.0,183.0,0.0,0.0,45201.0,4616.0,90.768,9.232,0.366,38.93280632411067,0.0,90.768
90.0,167.0,0.0,0.0,45290.0,4543.0,90.914,9.086,0.334,37.18487394957983,0.0,90.914
96.0,194.0,0.0,0.0,45248.0,4558.0,90.884,9.116,0.388,35.4,0.0,90.884
79.0,163.0,0.0,0.0,45147.0,4690.0,90.62,9.379999999999999,0.326,40.74074074074074,0.0,90.62
89.0,157.0,0.0,0.0,45213.0,4630.0,90.74,9.26,0.314,37.42911153119093,0.0,90.74
74.0,190.0,0.0,0.0,45228.0,4582.0,90.836,9.164,0.38,38.582677165354326,0.0,90.836
93.0,171.0,0.0,0.0,45097.0,4732.0,90.536,9.464,0.34199999999999997,40.2,0.0,90.536
85.0,203.0,0.0,0.0,45155.0,4642.0,90.716,9.284,0.406,34.88843813387424,0.0,90.716
79.0,168.0,0.0,0.0,45115.0,4717.0,90.566,9.434,0.336,38.289205702647656,0.0,90.566
86.0,179.0,0.0,0.0,45219.0,4602.0,90.79599999999999,9.203999999999999,0.358,38.07615230460922,0.0,90.79599999999999
97.0,202.0,0.0,0.0,45200.0,4598.0,90.804,9.196,0.404,37.77777777777778,0.0,90.804
88.0,179.0,0.0,0.0,45155.0,4666.0,90.668,9.332,0.358,37.3358348968105,0.0,90.668
81.0,167.0,0.0,0.0,45246.0,4587.0,90.826,9.174,0.334,37.4745417515275,0.0,90.826
84.0,178.0,0.0,0.0,45203.0,4619.0,90.762,9.238,0.356,35.34136546184739,0.0,90.762
80.0,177.0,0.0,0.0,45252.0,4571.0,90.858,9.142,0.35400000000000004,35.95744680851064,0.0,90.858
88.0,192.0,0.0,0.0,45201.0,4607.0,90.786,9.214,0.384,37.06720977596741,0.0,90.786
102.0,173.0,0.0,0.0,45251.0,4576.0,90.848,9.152000000000001,0.346,35.881104033970274,0.0,90.848
84.0,179.0,0.0,0.0,45160.0,4661.0,90.678,9.322,0.358,37.42802303262956,0.0,90.678
76.0,180.0,0.0,0.0,45157.0,4663.0,90.67399999999999,9.325999999999999,0.36,36.57505285412262,0.0,90.67399999999999
82.0,179.0,0.0,0.0,45136.0,4685.0,90.63,9.370000000000001,0.358,37.82178217821782,0.0,90.63
107.0,177.0,0.0,0.0,45271.0,4552.0,90.896,9.104,0.35400000000000004,40.61302681992337,0.0,90.896
75.0,169.0,0.0,0.0,45250.0,4581.0,90.838,9.161999999999999,0.338,34.61538461538461,0.0,90.838
84.0,168.0,0.0,0.0,45224.0,4608.0,90.78399999999999,9.216000000000001,0.336,37.0,0.0,90.78399999999999
83.0,156.0,0.0,0.0,45248.0,4596.0,90.80799999999999,9.192,0.312,40.7185628742515,0.0,90.80799999999999
86.13333333333334,178.7,0.0,0.0,45212.3,4609.0,90.782,9.218,0.3574,37.653058760991385,0.0,90.782
