steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
83.0,0.0,0.0,0.0,45324.0,4676.0,90.648,9.352,0.0,38.59649122807017,0.0,90.648
69.0,0.0,0.0,0.0,45252.0,4748.0,90.50399999999999,9.496,0.0,36.53483992467043,0.0,90.50399999999999
84.0,0.0,0.0,0.0,45263.0,4737.0,90.526,9.474,0.0,36.007827788649706,0.0,90.526
67.0,0.0,0.0,0.0,45303.0,4697.0,90.606,9.394,0.0,34.48275862068966,0.0,90.606
82.0,0.0,0.0,0.0,45305.0,4695.0,90.61,9.39,0.0,34.439834024896264,0.0,90.61
69.0,0.0,0.0,0.0,45403.0,4597.0,90.806,9.193999999999999,0.0,37.93774319066148,0.0,90.806
64.0,0.0,0.0,0.0,45382.0,4618.0,90.764,9.236,0.0,35.2165725047081,0.0,90.764
73.0,1.0,0.0,0.0,45298.0,4701.0,90.598,9.402000000000001,0.002,36.310679611650485,0.0,90.598
83.0,1.0,0.0,0.0,45370.0,4629.0,90.742,9.258,0.002,39.112050739957716,0.0,90.742
74.0,1.0,0.0,0.0,45279.0,4720.0,90.56,9.44,0.002,34.177215189873415,0.0,90.56
80.0,0.0,0.0,0.0,45427.0,4573.0,90.854,9.146,0.0,40.24144869215292,0.0,90.854
81.0,0.0,0.0,0.0,45292.0,4708.0,90.584,9.415999999999999,0.0,35.2112676056338,0.0,90.584
69.0,1.0,0.0,0.0,45293.0,4706.0,90.58800000000001,9.411999999999999,0.002,32.33532934131736,0.0,90.58800000000001
73.0,0.0,0.0,0.0,45360.0,4640.0,90.72,9.28,0.0,37.4468085106383,0.0,90.72
75.0,1.0,0.0,0.0,45240.0,4759.0,90.482,9.518,0.002,33.64661654135339,0.0,90.482
71.0,0.0,0.0,0.0,45374.0,4626.0,90.74799999999999,9.252,0.0,34.68559837728195,0.0,90.74799999999999
71.0,1.0,0.0,0.0,45352.0,4647.0,90.706,9.293999999999999,0.002,37.5968992248062,0.0,90.706
92.0,0.0,0.0,0.0,45322.0,4678.0,90.644,9.356,0.0,35.8974358974359,0.0,90.644
73.0,0.0,0.0,0.0,45396.0,4604.0,90.792,9.208,0.0,40.8203125,0.0,90.792
77.0,1.0,0.0,0.0,45280.0,4719.0,90.562,9.438,0.002,32.40938166311301,0.0,90.562
68.0,2.0,0.0,0.0,45461.0,4537.0,90.926,9.074,0.004,37.39316239316239,0.0,90.926
75.0,1.0,0.0,0.0,45336.0,4663.0,90.67399999999999,9.325999999999999,0.002,36.14931237721022,0.0,90.67399999999999
66.0,0.0,0.0,0.0,45409.0,4591.0,90.818,9.182,0.0,34.97757847533632,0.0,90.818
74.0,0.0,0.0,0.0,45358.0,4642.0,90.716,9.284,0.0,33.46938775510204,0.0,90.716
78.0,1.0,0.0,0.0,45297.0,4702.0,90.596,9.404,0.002,36.78861788617886,0.0,90.596
92.0,1.0,0.0,0.0,45338.0,4661.0,90.678,9.322,0.002,35.79335793357934,0.0,90.678
77.0,0.0,0.0,0.0,45381.0,4619.0,90.762,9.238,0.0,35.75757575757576,0.0,90.762
78.0,1.0,0.0,0.0,45434.0,4565.0,90.86999999999999,9.13,0.002,35.44857768052516,0.0,90.86999999999999
75.0,0.0,0.0,0.0,45161.0,4839.0,90.322,9.678,0.0,33.017077798861486,0.0,90.322
75.0,0.0,0.0,0.0,45420.0,4580.0,90.84,9.16,0.0,36.7504835589942,0.0,90.84
75.6,0.43333333333333335,0.0,0.0,45337.0,4662.566666666667,90.67486666666667,9.325133333333333,0.0008666666666666667,35.95507475980287,0.0,90.67486666666667
