steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
74.0,0.0,0.0,0.0,45194.0,4806.0,90.388,9.612,0.0,37.5234521575985,0.0,90.388
78.0,0.0,0.0,0.0,45214.0,4786.0,90.428,9.572,0.0,40.79207920792079,0.0,90.428
74.0,0.0,0.0,0.0,45147.0,4853.0,90.294,9.706,0.0,36.22047244094488,0.0,90.294
95.0,0.0,0.0,0.0,45227.0,4773.0,90.45400000000001,9.546000000000001,0.0,39.4,0.0,90.45400000000001
80.0,0.0,0.0,0.0,45179.0,4821.0,90.358,9.642000000000001,0.0,37.15341959334565,0.0,90.358
77.0,0.0,0.0,0.0,45147.0,4853.0,90.294,9.706,0.0,38.721804511278194,0.0,90.294
71.0,0.0,0.0,0.0,45272.0,4728.0,90.544,9.456000000000001,0.0,35.95744680851064,0.0,90.544
76.0,0.0,0.0,0.0,45253.0,4747.0,90.506,9.494,0.0,38.96907216494846,0.0,90.506
87.0,0.0,0.0,0.0,45171.0,4829.0,90.342,9.658,0.0,36.21399176954733,0.0,90.342
89.0,0.0,0.0,0.0,45194.0,4806.0,90.388,9.612,0.0,34.146341463414636,0.0,90.388
90.0,0.0,0.0,0.0,45178.0,4822.0,90.35600000000001,9.644,0.0,38.52140077821012,0.0,90.35600000000001
85.0,0.0,0.0,0.0,45246.0,4754.0,90.49199999999999,9.508,0.0,34.622467771639045,0.0,90.49199999999999
74.0,0.0,0.0,0.0,45260.0,4740.0,90.52,9.48,0.0,33.2657200811359,0.0,90.52
79.0,0.0,0.0,0.0,45308.0,4692.0,90.616,9.384,0.0,30.0,0.0,90.616
75.0,0.0,0.0,0.0,45263.0,4737.0,90.526,9.474,0.0,32.365145228215766,0.0,90.526
83.0,0.0,0.0,0.0,45342.0,4658.0,90.684,9.316,0.0,39.63963963963964,0.0,90.684
69.0,0.0,0.0,0.0,45228.0,4772.0,90.456,9.544,0.0,36.41618497109826,0.0,90.456
72.0,0.0,0.0,0.0,45274.0,4726.0,90.548,9.452,0.0,36.76190476190476,0.0,90.548
72.0,0.0,0.0,0.0,45103.0,4897.0,90.206,9.794,0.0,38.74045801526718,0.0,90.206
72.0,0.0,0.0,0.0,45269.0,4731.0,90.538,9.462,0.0,35.0597609561753,0.0,90.538
80.0,0.0,0.0,0.0,45289.0,4711.0,90.578,9.422,0.0,35.44303797468354,0.0,90.578
78.0,0.0,0.0,0.0,45242.0,4758.0,90.484,9.516,0.0,34.00402414486921,0.0,90.484
72.0,0.0,0.0,0.0,45234.0,4766.0,90.468,9.532,0.0,33.52713178294574,0.0,90.468
86.0,0.0,0.0,0.0,45326.0,4674.0,90.652,9.347999999999999,0.0,38.412017167381975,0.0,90.652
74.0,0.0,0.0,0.0,45212.0,4788.0,90.424,9.576,0.0,36.68763102725367,0.0,90.424
72.0,0.0,0.0,0.0,45091.0,4909.0,90.182,9.818,0.0,36.137667304015295,0.0,90.182
85.0,0.0,0.0,0.0,45216.0,4784.0,90.432,9.568,0.0,34.24036281179138,0.0,90.432
70.0,0.0,0.0,0.0,45170.0,4830.0,90.34,9.66,0.0,33.131313131313135,0.0,90.34
79.0,0.0,0.0,0.0,45159.0,4841.0,90.318,9.682,0.0,34.8,0.0,90.318
68.0,0.0,0.0,0.0,45235.0,4765.0,90.47,9.53,0.0,32.35908141962422,0.0,90.47
77.86666666666666,0.0,0.0,0.0,45221.433333333334,4778.566666666667,90.44286666666667,9.557133333333333,0.0,35.974434302822445,0.0,90.44286666666667
