steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
88.0,11842.0,0.0,37159.0,37069.0,1089.0,97.822,2.178,23.684,58.282208588957054,99.84929626739148,91.95545518261817
73.0,12098.0,0.0,37122.0,36860.0,1042.0,97.916,2.084,24.196,62.15686274509804,99.86261516082108,92.3047056996428
85.0,11786.0,0.0,37151.0,37141.0,1073.0,97.854,2.146,23.572000000000003,57.48987854251012,99.84388038007053,92.1005525721846
77.0,12309.0,0.0,37229.0,36591.0,1100.0,97.8,2.1999999999999997,24.618000000000002,56.8359375,99.87106825324345,91.76258711142432
96.0,11751.0,0.0,37338.0,37176.0,1073.0,97.854,2.146,23.502000000000002,57.70020533880903,99.85269698430554,91.96019586163324
88.0,12030.0,0.0,37123.0,36929.0,1041.0,97.918,2.0820000000000003,24.060000000000002,60.16597510373444,99.8383751313202,92.38176593927156
79.0,11802.0,0.0,37221.0,37103.0,1095.0,97.81,2.19,23.604,56.68789808917197,99.83880067703716,91.90077470850613
97.0,11992.0,0.0,37324.0,36990.0,1018.0,97.964,2.036,23.983999999999998,59.91561181434599,99.83120780195048,92.46607762701167
92.0,12041.0,0.0,37067.0,36849.0,1110.0,97.78,2.22,24.082,56.61605206073753,99.8543178568538,91.83484110415216
93.0,11822.0,0.0,37113.0,37137.0,1041.0,97.918,2.0820000000000003,23.644000000000002,62.22664015904572,99.89222105461698,92.2324823465508
81.0,12396.0,0.0,37255.0,36529.0,1075.0,97.85000000000001,2.15,24.792,59.683794466403164,99.86310562340626,91.96547665751275
79.0,12047.0,0.0,37119.0,36870.0,1083.0,97.834,2.166,24.093999999999998,59.95423340961098,99.84374579056548,92.04254328080118
9.0,49981.0,0.0,37122.0,19.0,0.0,100.0,0.0,99.96199999999999,100.0,100.0,100.0
98.0,12247.0,0.0,37256.0,36751.0,1002.0,97.99600000000001,2.004,24.494,60.44444444444444,99.83089972085033,92.63182674199624
107.0,12163.0,0.0,37175.0,36787.0,1050.0,97.89999999999999,2.1,24.326,56.882591093117405,99.87088096839274,92.18713450292397
75.0,11871.0,0.0,37236.0,37023.0,1106.0,97.788,2.212,23.742,55.99128540305011,99.82812332151681,91.83641491695394
94.0,11856.0,0.0,37353.0,37112.0,1032.0,97.936,2.064,23.712,59.691629955947135,99.86614194308355,92.23531272238475
98.0,12041.0,0.0,37178.0,36930.0,1029.0,97.942,2.0580000000000003,24.082,58.2995951417004,99.84130399698746,92.43487755420371
2.0,49989.0,0.0,37172.0,11.0,0.0,100.0,0.0,99.978,100.0,100.0,100.0
85.0,11696.0,0.0,37120.0,37246.0,1058.0,97.884,2.116,23.392,62.64822134387352,99.85452586206897,92.20496894409938
82.0,11799.0,0.0,37261.0,37111.0,1090.0,97.82,2.18,23.598,56.2753036437247,99.84165749711494,91.90674307245466
90.0,11725.0,0.0,37045.0,37157.0,1118.0,97.764,2.236,23.45,59.04761904761905,99.84343366176273,91.81783095329989
76.0,11316.0,0.0,37209.0,37617.0,1067.0,97.866,2.1340000000000003,22.631999999999998,57.14285714285714,99.87099895186648,92.03346102728482
88.0,12167.0,0.0,37204.0,36769.0,1064.0,97.872,2.128,24.334,59.79797979797979,99.84410278464682,92.13816817755549
81.0,12027.0,0.0,37362.0,36951.0,1022.0,97.956,2.044,24.054000000000002,59.67741935483871,99.87420373641667,92.2851717043836
106.0,12286.0,0.0,37183.0,36622.0,1092.0,97.816,2.1839999999999997,24.572,56.31469979296067,99.84132533684749,91.94039166731685
90.0,12325.0,0.0,37383.0,36684.0,991.0,98.018,1.982,24.65,60.68376068376068,99.89834951716021,92.4466988983118
90.0,11876.0,0.0,37221.0,37093.0,1031.0,97.938,2.062,23.752000000000002,60.21052631578947,99.8468606431853,92.3781203537053
90.0,12123.0,0.0,37133.0,36846.0,1031.0,97.938,2.062,24.246000000000002,57.39299610894941,99.87073492580724,92.36030154659205
117.0,12214.0,0.0,37285.0,36675.0,1111.0,97.77799999999999,2.222,24.428,59.76331360946746,99.84175942067856,91.726307510814
83.53333333333333,14520.6,0.0,37203.96666666667,34488.26666666667,991.1333333333333,98.01773333333334,1.9822666666666668,29.0412,61.599318023283466,99.86355444233229,92.64903961285299
