steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
76.0,1967.0,0.0,37165.0,46661.0,1372.0,97.256,2.7439999999999998,3.934,46.895074946466806,99.81703215390824,89.84028048305414
85.0,1953.0,0.0,37239.0,46606.0,1441.0,97.11800000000001,2.8819999999999997,3.9059999999999997,47.98464491362764,99.82276645452347,89.22498236815296
71.0,1875.0,0.0,37226.0,46789.0,1336.0,97.328,2.672,3.75,48.35680751173709,99.81464567775211,90.08141537498044
87.0,1814.0,0.0,37318.0,46837.0,1349.0,97.30199999999999,2.698,3.628,44.87427466150871,99.83654000750309,89.8438732061189
73.0,1746.0,0.0,37270.0,46933.0,1321.0,97.358,2.642,3.492,46.468401486988846,99.79608264019319,90.21995286724274
74.0,2000.0,0.0,37196.0,46633.0,1367.0,97.26599999999999,2.734,4.0,50.78431372549019,99.84406925475857,89.7766323024055
85.0,1828.0,0.0,37289.0,46927.0,1245.0,97.50999999999999,2.4899999999999998,3.656,50.284629981024665,99.82568585910055,90.71670206907403
79.0,2043.0,0.0,37165.0,46627.0,1330.0,97.34,2.6599999999999997,4.086,50.98425196850393,99.78205300686129,90.26879626022594
75.0,1839.0,0.0,37168.0,46807.0,1354.0,97.292,2.708,3.678,50.293542074364,99.79014205768402,90.05610972568579
73.0,1719.0,0.0,37119.0,46882.0,1399.0,97.202,2.798,3.438,47.05882352941176,99.7925590667852,89.73682167533576
77.0,2055.0,0.0,37242.0,46605.0,1340.0,97.32,2.68,4.109999999999999,49.795918367346935,99.80935502926803,90.05329989026494
76.0,1668.0,0.0,37120.0,46923.0,1409.0,97.182,2.818,3.3360000000000003,44.5045045045045,99.82219827586208,89.57298136645963
64.0,1674.0,0.0,37156.0,47002.0,1324.0,97.352,2.648,3.3480000000000003,51.631477927063344,99.82775325653999,90.1899719713485
71.0,1862.0,0.0,37208.0,46760.0,1378.0,97.244,2.7560000000000002,3.724,49.0272373540856,99.83874435605247,89.69668542839274
78.0,2046.0,0.0,37387.0,46555.0,1399.0,97.202,2.798,4.092,50.57692307692307,99.78869660577206,89.53460715135178
88.0,2072.0,0.0,37341.0,46552.0,1376.0,97.248,2.752,4.144,49.89733059548255,99.79379234621462,89.73852594991706
73.0,1841.0,0.0,37280.0,46831.0,1328.0,97.344,2.656,3.682,48.69739478957916,99.78809012875537,90.18081761006289
76.0,1754.0,0.0,37254.0,46874.0,1372.0,97.256,2.7439999999999998,3.508,48.148148148148145,99.79599506093305,89.83210418954967
69.0,1775.0,0.0,37268.0,46837.0,1388.0,97.224,2.776,3.55,48.73646209386281,99.81485456692069,89.64027646874018
70.0,2015.0,0.0,37135.0,46591.0,1394.0,97.212,2.788,4.03,48.96421845574388,99.84919886899152,89.59968907889623
71.0,1668.0,0.0,37104.0,46983.0,1349.0,97.30199999999999,2.698,3.3360000000000003,50.470809792843696,99.82751185855973,90.03566997518611
69.0,2025.0,0.0,37256.0,46651.0,1324.0,97.352,2.648,4.05,49.36708860759494,99.82284732660511,90.12868801004394
98.0,1930.0,0.0,37106.0,46681.0,1389.0,97.222,2.778,3.8600000000000003,45.571955719557195,99.81135126394653,89.77043586164108
90.0,1892.0,0.0,37155.0,46756.0,1352.0,97.296,2.704,3.784,47.924528301886795,99.814291481631,90.0116776956014
71.0,1868.0,0.0,37243.0,46809.0,1323.0,97.354,2.646,3.7359999999999998,50.78125,99.83352576323068,90.11523085364898
71.0,2046.0,0.0,37335.0,46607.0,1347.0,97.306,2.694,4.092,43.84920634920635,99.84732824427482,89.81444926964073
72.0,1924.0,0.0,37237.0,46716.0,1360.0,97.28,2.7199999999999998,3.848,45.766129032258064,99.84692644412814,89.7908015356891
76.0,1993.0,0.0,37309.0,46593.0,1414.0,97.172,2.828,3.9859999999999998,43.20486815415821,99.7828942078319,89.49649357812623
88.0,1705.0,0.0,37075.0,46935.0,1360.0,97.28,2.7199999999999998,3.4099999999999997,48.03738317757009,99.83816587997303,89.94197292069632
67.0,1942.0,0.0,37219.0,46709.0,1349.0,97.30199999999999,2.698,3.884,45.525291828793776,99.81998441656144,89.96948595571551
76.43333333333334,1884.6333333333334,0.0,37219.5,46755.73333333333,1359.6333333333334,97.28073333333333,2.719266666666667,3.7692666666666668,48.14876303585776,99.81650271870406,89.89598103644165
